filename,iati-activity/iati-identifier[1],iati-activity/transaction,iati-activity/transaction@humanitarian,iati-activity/transaction@ref,iati-activity/transaction/transaction-type[1],iati-activity/transaction/transaction-type[1]@code,iati-activity/transaction/transaction-date[1],iati-activity/transaction/transaction-date[1]@iso-date,iati-activity/transaction/value[1],iati-activity/transaction/value[1]@currency,iati-activity/transaction/value[1]@value-date,iati-activity/transaction/description[1],iati-activity/transaction/description[1]/narrative[1],iati-activity/transaction/description[1]/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang,iati-activity/transaction/provider-org[1],iati-activity/transaction/provider-org[1]@provider-activity-id,iati-activity/transaction/provider-org[1]@ref,iati-activity/transaction/provider-org[1]@type,iati-activity/transaction/provider-org[1]/narrative[1],iati-activity/transaction/provider-org[1]/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang,iati-activity/transaction/receiver-org[1],iati-activity/transaction/receiver-org[1]@receiver-activity-id,iati-activity/transaction/receiver-org[1]@ref,iati-activity/transaction/receiver-org[1]@type,iati-activity/transaction/receiver-org[1]/narrative[1],iati-activity/transaction/receiver-org[1]/narrative[1]@{http://www.w3.org/XML/1998/namespace}lang,iati-activity/transaction/sector[1],iati-activity/transaction/sector[1]@code,iati-activity/transaction/sector[1]@percentage,iati-activity/transaction/sector[1]@vocabulary,iati-activity/transaction/recipient-country[1],iati-activity/transaction/recipient-country[1]@code,iati-activity/transaction/recipient-country[1]@percentage,iati-activity/transaction/recipient-region[1],iati-activity/transaction/recipient-region[1]@code,iati-activity/transaction/recipient-region[1]@percentage,iati-activity/transaction/recipient-region[1]@vocabulary,iati-activity/transaction/flow-type[1],iati-activity/transaction/flow-type[1]@code,iati-activity/transaction/finance-type[1],iati-activity/transaction/finance-type[1]@code,iati-activity/transaction/aid-type[1],iati-activity/transaction/aid-type[1]@code,iati-activity/transaction/aid-type[1]@vocabulary
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,1,,2018-07-09,1442840.23,GBP,2018-07-09,,,,"
        ",GB-GOV-1-300461,GB-GOV-1,10,DFID (UK department for International Development),,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,4,,2019-12-31,682921.09,GBP,2019-04-01,"
        ",October-December 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2018-06-30,63298.43,GBP,2018-06-30,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-COH-213890,21,START Network/MERF,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2018-10-05,792895.15,GBP,2018-10-05,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-COH-213890,21,START Network/MERF,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2018-12-30,527159.20,GBP,2019-05-07,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF191,GB-CHC-1065972,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2018-06-30,807798.49,GBP,2018-06-30,,,,"
        ",DK-CVR-20693310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-COH-213890,21,START Network/MERF,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2018-08-11,250647,GBP,2018-08-11,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF191,GB-CHC-1065972,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-04-30,540436.24,GBP,2019-04-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-COH-213890,21,START Network/MERF,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-10-01,582117.30,GBP,2019-03-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-COH-213890,21,START Network/MERF,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-03-31,44755.18,GBP,2019-04-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF191,GB-CHC-1065972,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-08-13,365287.74,GBP,2019-04-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF191,GB-CHC-1065972,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-10-02,1059505.18,GBP,2019-03-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-COH-213890,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-12-19,427366.33,GBP,2019-04-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF191,GB-COH-213890,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2019-12-27,458795.63,GBP,2019-04-01,,,,"
        ",DK-CVR-20699310-DF20381,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-COH-213890-DF191,GB-COH-213890,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,4,,2020-03-31,713475.88,GBP,2020-03-31,"
        ",January-March 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,3,,2020-09-08,108756959,GBP,2020-09-08,"
        ",Disbursement to START Network ,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,,"
        ",,GB-COH-213890,21,START Network //MERF ,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,4,,2020-09-30,935160.68,GBP,2020-09-30,"
        ",Expenditure July-September 2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,4,,2020-12-31,1176061,GBP,2020-12-31,"
        ",October-December 2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF20381,"
      ",,,,4,,2020-06-30,868551.70,GBP,2020-06-30,"
        ",Expenditure April-June 2020 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-09-01,330011,GBP,2017-09-01,"
        ",1st installment to LWF,,"
        ",,DK-CVR-20699310,,Danish Refugee Council,da,"
        ",,,,Lutheran World Federation,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-12-05,301390,GBP,2017-12-15,"
        ",2nd installment to Save the Children Intl.,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,en,"
        ",,GB-CHC-1076822,21,Save the Children International,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-12-01,240000,GBP,2017-12-01,"
        ",2nd installment for International Rescue Committee,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF184,GB-CHC-1065972,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",1,,,11,,2017-07-01,4039868,GBP,2017-07-01,"
        ",Total Project budget,,,GB-GOV-1-300357-104,GB-GOV-1,10,,,,,DK-CVR-20699310,21,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-09-02,258302.50,GBP,2017-07-01,"
        ",1st installment to Action against Hunger,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1047501-UG-West_Nile,GB-CHC-1047501,21,Action Against Hunger UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-12-05,264008,GBP,2017-12-05,"
        ",2nd installment to LWF,,"
        ",DF17695,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,,,Lutheran World Federation,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,1,,2017-07-28,2000000,GBP,2017-07-28,"
        ",Incoming funds from DFID,en,"
        ",GB-GOV-1-300357-104,GB-GOV-1,10,DFID,,,DK-CVR-20699310-DF17695,DK-CVR-20699310,21,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,1,,2017-12-11,2039868,GBP,2017-12-11,"
        ",Incoming funds from DFID,,,GB-GOV-1-300357-104,GB-GOV-1,10,,,"
        ",DK-CVR-20699310-DF17695,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-12-15,206642.00,GBP,2017-12-15,"
        ",2nd installment to Action Against Hunger UK,,"
        ",DK-CVR-20699310-DF17695,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1047501-UG-West_Nile,GB-CHC-1047501,,Action against Hunger UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",1,,,3,,2017-09-01,300000,GBP,2017-09-01,"
        ",1st installment for International Rescue Committee UK,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",GB-CHC-1065972-DF184,GB-CHC-1065972,21,International Rescue Committee UK,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF18695,"
      ",,,,3,,2017-09-01,376738,GBP,2017-09-01,"
        ",1st installment to Save the Children Intl.,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,,"
        ",,GB-CHC-1076822,21,Save the Children International,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2016-08-24,201703.0,GBP,2016-08-24,"
        ",1st installment from International Rescue Committee Inc,,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc,,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2016-12-28,207700.52,GBP,2016-12-28,"
        ",2nd installment to International Rescue Committee Inc.,en,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,11,,2016-05-15,3304837,GBP,2016-05-15,"
        ",Total project budget,,"
        ",DF143,GB-CHC-1065972,21,International Rescue Committee UK,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2018-09-27,347194.702,GBP,2018-09-27,"
        ",6th installment from International Rescue Committee Inc.,en,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2017-03-27,197154.50,GBP,2017-03-27,"
        ",3rd installment from International Rescue Committtee Inc,en,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2018-01-19,352001.86,GBP,2018-01-19,"
        ",5th installment from International Rescue Committee Inc,,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2018-12-06,703736.25,GBP,2018-12-06,"
        ",7th Installment from International Rescue Committee Inc,en,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,1,,2017-10-04,641231.35,GBP,2017-10-04,"
        ",4th Installment from International Rescue Committee Inc.,en,"
        ",US-EIN-13-5660870-DF143,US-EIN-13-5660870,21,International Rescue Committee Inc.,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2016-12-30,86549.34,GBP,2016-12-30,"
        ",Year 1 Q1&2,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2017-03-30,314174,GBP,2016-12-30,"
        ",Yr1 Q3,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2017-09-30,236889.33,GBP,2017-09-30,"
        ",Y2 Q2,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2017-07-30,311397.52,GBP,2017-06-30,"
        ",Yr2 Q1,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2018-03-30,189961.20,GBP,2018-03-30,"
        ",Yr2 Q4,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2018-06-30,295995.46,GBP,2018-06-30,"
        ",Y3 Q1,,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2018-09-30,216732.00,GBP,2018-09-30,"
        ",Yr3 Q2,,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2017-12-31,283437,GBP,2017-12-31,"
        ",Y2 Q3,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DF19726,"
      ",,,,4,,2017-05-31,274239,GBP,2017-03-31,"
        ",Yr1 Q4,en,"
        ",DK-CVR-20699310-DF16726,DK-CVR-20699310,21,Danish Refugee Council,en,,,,,,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,,,1,,2020-09-10,80000000,DKK,2020-09-10,,,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,Denmark Ministry of Foreign Affairs ,,"
        ",,DK-CVR-20699310,21,Danish Refugee Council ,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,,,1,,2019-02-13,80000000,DKK,2018-02-13,,,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3,10,"Ministry of Foreign Affairs, Denmark",en,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,13,,2020-05-19,38000000.00,DKK,2020-05-19,,,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,11,,2020-05-19,38000000.00,DKK,2020-05-01,"
        ",COVID-19 ,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,1,,2020-06-19,11400000,DKK,2020-06-19,"
        ",COVID-19 ,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,1,,2020-05-20,13300000,DKK,2020-08-05,"
        ",COVID-19 ,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,1,,2019-07-08,80000000,DKK,2019-07-01,,,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,1,,2020-11-27,13300000,DKK,2020-11-27,"
        ",COVID-19 ,,"
        ",XM-DAC-3-1-271671-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council ,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,13,,2020-02-03,160000000,DKK,2020-02-03,,,,"
        ",XM-DAC-3-1-271671-32612,XM-DAC-3,10,Denmark- Ministry of Foreign Affairs,,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,,,13,,2019-02-13,160000000,DKK,2019-02-13,,,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,11,,2019-02-13,160000000,DKK,2019-01-14,"
        ",Humanitarian Lot total 2019,,"
        ",XM-DAC-3-1-271671-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",1,,,1,,2020-02-03,80000000,DKK,2020-01-01,,,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,Denmark-Ministry of Foreign Affairs,,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK19938,"
      ",,,,11,,2020-02-03,160000000,DKK,2020-01-01,"
        ",Humanitarian Lot total 2020,,"
        ",XM-DAC-3-1-271673-32612,XM-DAC-3-1,10,"Ministry of Foreign Affairs, Denmark",,"
        ",DK-CVR-20699310-DK21649,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
drc-activities,DK-CVR-20699310-DK2112467,"
      ",,,,1,,2019-07-05,7500000,DKK,2019-07-01,,,,"
        ",XM-DAC-3-1-271671-32611,XM-DAC-3-1,10,Denmark Ministry of Foreign Affairs,,"
        ",DK-CVR-20699310-DK21648,DK-CVR-20699310,21,Danish Refugee Council,,,,,,,,,,,,,,,,,,,
